timeframe,train_start,train_end,test_start,test_end,final_balance,total_return_pct,buy_hold_final_balance,buy_hold_total_return_pct,trades,strength_threshold,config_name,threshold_mode,trailing_mode,cooldown_bars,fold_index
5min,2023-10-06 06:45:00,2024-04-03 06:45:00,2024-04-03 06:45:00,2024-05-03 06:45:00,2477.3186546108313,147.73186546108312,863.0842913621159,-13.691570863788415,20,-42.846778722859405,v8,quantile_grid,atr,0,0
5min,2023-11-05 06:45:00,2024-05-03 06:45:00,2024-05-03 06:45:00,2024-06-02 06:45:00,1949.420220338541,94.94202203385409,1095.985985357417,9.598598535741697,12,-41.249509473596795,v8,quantile_grid,atr,0,1
5min,2023-12-05 06:45:00,2024-06-02 06:45:00,2024-06-02 06:45:00,2024-07-02 06:45:00,1544.5483502185773,54.454835021857726,798.3002742046021,-20.169972579539785,30,-41.249509473596795,v8,quantile_grid,atr,0,2
5min,2024-01-04 06:45:00,2024-07-02 06:45:00,2024-07-02 06:45:00,2024-08-01 06:45:00,1508.3079688421926,50.830796884219254,385.5362517045259,-61.4463748295474,18,-35.74852931974071,v8,quantile_grid,atr,0,3
5min,2024-02-03 06:45:00,2024-08-01 06:45:00,2024-08-01 06:45:00,2024-08-31 06:45:00,1773.2701069181396,77.32701069181395,1106.1812330524451,10.61812330524452,30,-35.74852931974071,v8,quantile_grid,atr,0,4
5min,2024-03-04 06:45:00,2024-08-31 06:45:00,2024-08-31 06:45:00,2024-09-30 06:45:00,6133.302157827827,513.3302157827827,2644.9883921167816,164.49883921167813,26,-36.41588668160791,v8,quantile_grid,atr,0,5
5min,2024-04-03 06:45:00,2024-09-30 06:45:00,2024-09-30 06:45:00,2024-10-30 06:45:00,1669.7719828575905,66.97719828575906,770.6194907689879,-22.938050923101205,22,-38.849902115644184,v8,quantile_grid,atr,0,6
5min,2024-05-03 06:45:00,2024-10-30 06:45:00,2024-10-30 06:45:00,2024-11-29 06:45:00,25153.858491725445,2415.3858491725446,10798.447924549891,979.8447924549893,26,-38.849902115644184,v8,quantile_grid,atr,0,7
5min,2024-06-02 06:45:00,2024-11-29 06:45:00,2024-11-29 06:45:00,2024-12-29 06:45:00,3183.0527585731566,218.30527585731568,426.7824875601137,-57.321751243988636,22,-38.849902115644184,v8,quantile_grid,atr,0,8
5min,2024-07-02 06:45:00,2024-12-29 06:45:00,2024-12-29 06:45:00,2025-01-28 06:45:00,3371.4486843549826,237.14486843549824,1323.0252161139977,32.30252161139977,30,-38.94094288766637,v8,quantile_grid,atr,0,9
5min,2024-08-01 06:45:00,2025-01-28 06:45:00,2025-01-28 06:45:00,2025-02-27 06:45:00,2347.155137716172,134.71551377161717,423.12234189670977,-57.68776581032902,22,-38.94094288766637,v8,quantile_grid,atr,0,10
5min,2024-08-31 06:45:00,2025-02-27 06:45:00,2025-02-27 06:45:00,2025-03-29 06:45:00,3688.47803053169,268.847803053169,233.4119589902398,-76.65880410097601,34,-38.94094288766637,v8,quantile_grid,atr,0,11
5min,2024-09-30 06:45:00,2025-03-29 06:45:00,2025-03-29 06:45:00,2025-04-28 06:45:00,13425.493133393707,1242.5493133393709,433.6854911580638,-56.63145088419361,16,-119.6527757017019,v8,quantile_grid,atr,0,12
5min,2024-10-30 06:45:00,2025-04-28 06:45:00,2025-04-28 06:45:00,2025-05-28 06:45:00,4934.0134037591115,393.40134037591116,3792.0163909108205,279.20163909108203,24,-276.3656149277638,v8,quantile_grid,atr,0,13
5min,2024-11-29 06:45:00,2025-05-28 06:45:00,2025-05-28 06:45:00,2025-06-27 06:45:00,2469.6798584247667,146.96798584247665,1008.6224132841926,0.8622413284192554,16,-276.3656149277638,v8,quantile_grid,atr,0,14
5min,2024-12-29 06:45:00,2025-06-27 06:45:00,2025-06-27 06:45:00,2025-07-27 06:45:00,1933.6260193044866,93.36260193044865,1606.6241952431023,60.66241952431024,12,-276.3656149277638,v8,quantile_grid,atr,0,15
5min,2025-01-28 06:45:00,2025-07-27 06:45:00,2025-07-27 06:45:00,2025-08-26 06:45:00,2413.1968541334945,141.31968541334948,1025.6823444901383,2.56823444901384,10,-276.3656149277638,v8,quantile_grid,atr,0,16
5min,2025-02-27 06:45:00,2025-08-26 06:45:00,2025-08-26 06:45:00,2025-09-25 06:45:00,990.2828595917069,-0.9717140408293079,690.2753709300432,-30.97246290699568,12,-276.3656149277638,v8,quantile_grid,atr,0,17
15min,2023-10-06 06:45:00,2024-04-03 06:45:00,2024-04-03 06:45:00,2024-05-03 06:45:00,2413.0752620169987,141.3075262016999,864.6238545993971,-13.537614540060295,12,-56.43251906808173,v8,quantile_grid,atr,0,0
15min,2023-11-05 06:45:00,2024-05-03 06:45:00,2024-05-03 06:45:00,2024-06-02 06:45:00,1763.1296443850995,76.31296443850995,1097.0642381070102,9.706423810701015,10,-47.47264763446496,v8,quantile_grid,atr,0,1
15min,2023-12-05 06:45:00,2024-06-02 06:45:00,2024-06-02 06:45:00,2024-07-02 06:45:00,1669.5861503859292,66.95861503859291,794.3954145277806,-20.560458547221938,18,-47.47264763446496,v8,quantile_grid,atr,0,2
15min,2024-01-04 06:45:00,2024-07-02 06:45:00,2024-07-02 06:45:00,2024-08-01 06:45:00,1522.4764762336022,52.24764762336023,374.6202054064746,-62.537979459352535,20,-28.880218122162933,v8,quantile_grid,atr,0,3
15min,2024-02-03 06:45:00,2024-08-01 06:45:00,2024-08-01 06:45:00,2024-08-31 06:45:00,1996.165119538142,99.6165119538142,1114.1604362904839,11.416043629048378,12,-55.40505703422618,v8,quantile_grid,atr,0,4
15min,2024-03-04 06:45:00,2024-08-31 06:45:00,2024-08-31 06:45:00,2024-09-30 06:45:00,5066.289624655698,406.6289624655698,2663.4481402795823,166.34481402795825,14,-55.40505703422618,v8,quantile_grid,atr,0,5
15min,2024-04-03 06:45:00,2024-09-30 06:45:00,2024-09-30 06:45:00,2024-10-30 06:45:00,1304.2608655261142,30.42608655261143,770.527463975751,-22.94725360242491,12,-55.40505703422618,v8,quantile_grid,atr,0,6
15min,2024-05-03 06:45:00,2024-10-30 06:45:00,2024-10-30 06:45:00,2024-11-29 06:45:00,15190.127930699733,1419.0127930699732,10847.802676704228,984.7802676704229,12,-55.40505703422618,v8,quantile_grid,atr,0,7
15min,2024-06-02 06:45:00,2024-11-29 06:45:00,2024-11-29 06:45:00,2024-12-29 06:45:00,1369.226422705471,36.92264227054709,424.49103918025196,-57.55089608197481,10,-55.40505703422618,v8,quantile_grid,atr,0,8
15min,2024-07-02 06:45:00,2024-12-29 06:45:00,2024-12-29 06:45:00,2025-01-28 06:45:00,2549.6082249493174,154.96082249493176,1325.6038600793916,32.56038600793916,12,-55.40505703422618,v8,quantile_grid,atr,0,9
15min,2024-08-01 06:45:00,2025-01-28 06:45:00,2025-01-28 06:45:00,2025-02-27 06:45:00,1305.5698277826402,30.556982778264018,421.9519746387379,-57.80480253612621,6,-39.15974166497108,v8,quantile_grid,atr,0,10
15min,2024-08-31 06:45:00,2025-02-27 06:45:00,2025-02-27 06:45:00,2025-03-29 06:45:00,1748.7095032680234,74.87095032680233,233.58616336016087,-76.64138366398392,20,-37.612381914748305,v8,quantile_grid,atr,0,11
15min,2024-09-30 06:45:00,2025-03-29 06:45:00,2025-03-29 06:45:00,2025-04-28 06:45:00,4989.163270963233,398.9163270963233,434.07730676238646,-56.59226932376136,18,-143.506111968335,v8,quantile_grid,atr,0,12
15min,2024-10-30 06:45:00,2025-04-28 06:45:00,2025-04-28 06:45:00,2025-05-28 06:45:00,4687.7296171490725,368.77296171490724,3810.7672499112086,281.0767249911209,6,-295.4415575826334,v8,quantile_grid,atr,0,13
15min,2024-11-29 06:45:00,2025-05-28 06:45:00,2025-05-28 06:45:00,2025-06-27 06:45:00,2166.4974744435985,116.64974744435987,1013.4788906024959,1.3478890602495852,10,-295.4415575826334,v8,quantile_grid,atr,0,14
15min,2024-12-29 06:45:00,2025-06-27 06:45:00,2025-06-27 06:45:00,2025-07-27 06:45:00,2252.1960736030233,125.21960736030233,1601.584294735729,60.15842947357288,12,-295.4415575826334,v8,quantile_grid,atr,0,15
15min,2025-01-28 06:45:00,2025-07-27 06:45:00,2025-07-27 06:45:00,2025-08-26 06:45:00,1516.9270462284446,51.69270462284445,1023.2239504187693,2.3223950418769235,8,-295.4415575826334,v8,quantile_grid,atr,0,16
15min,2025-02-27 06:45:00,2025-08-26 06:45:00,2025-08-26 06:45:00,2025-09-25 06:45:00,960.6936381133206,-3.9306361886679353,691.6988175882476,-30.830118241175242,8,-295.4415575826334,v8,quantile_grid,atr,0,17
30min,2023-10-06 07:00:00,2024-04-03 07:00:00,2024-04-03 07:00:00,2024-05-03 07:00:00,2943.328134452347,194.3328134452347,858.7551217678291,-14.124487823217091,24,-63.177480687290654,v8,quantile_grid,atr,0,0
30min,2023-11-05 07:00:00,2024-05-03 07:00:00,2024-05-03 07:00:00,2024-06-02 07:00:00,1771.3941818536405,77.13941818536405,1109.99166235048,10.999166235047998,18,-60.26413404519085,v8,quantile_grid,atr,0,1
30min,2023-12-05 07:00:00,2024-06-02 07:00:00,2024-06-02 07:00:00,2024-07-02 07:00:00,1553.0346921180685,55.30346921180684,792.5699032919111,-20.74300967080889,20,-60.26413404519085,v8,quantile_grid,atr,0,2
30min,2024-01-04 07:00:00,2024-07-02 07:00:00,2024-07-02 07:00:00,2024-08-01 07:00:00,1322.4460600750106,32.244606007501055,372.92039045579816,-62.70796095442018,24,-67.92621957097244,v8,quantile_grid,atr,0,3
30min,2024-02-03 07:00:00,2024-08-01 07:00:00,2024-08-01 07:00:00,2024-08-31 07:00:00,1739.9196741424998,73.99196741424998,1110.9473276910996,11.09473276910997,22,-75.5961302672824,v8,quantile_grid,atr,0,4
30min,2024-03-04 07:00:00,2024-08-31 07:00:00,2024-08-31 07:00:00,2024-09-30 07:00:00,5612.87290491196,461.287290491196,2674.1320856608963,167.41320856608962,24,-75.5961302672824,v8,quantile_grid,atr,0,5
30min,2024-04-03 07:00:00,2024-09-30 07:00:00,2024-09-30 07:00:00,2024-10-30 07:00:00,1411.150581312848,41.1150581312848,765.4094820933553,-23.459051790664464,16,-75.5961302672824,v8,quantile_grid,atr,0,6
30min,2024-05-03 07:00:00,2024-10-30 07:00:00,2024-10-30 07:00:00,2024-11-29 07:00:00,15502.934289040051,1450.2934289040052,10850.49232154191,985.0492321541909,20,-75.5961302672824,v8,quantile_grid,atr,0,7
30min,2024-06-02 07:00:00,2024-11-29 07:00:00,2024-11-29 07:00:00,2024-12-29 07:00:00,2675.4547251885288,167.54547251885285,428.42941463883227,-57.157058536116764,20,-75.5961302672824,v8,quantile_grid,atr,0,8
30min,2024-07-02 07:00:00,2024-12-29 07:00:00,2024-12-29 07:00:00,2025-01-28 07:00:00,3161.8053265695453,216.18053265695454,1326.8059982383884,32.68059982383884,22,-75.5961302672824,v8,quantile_grid,atr,0,9
30min,2024-08-01 07:00:00,2025-01-28 07:00:00,2025-01-28 07:00:00,2025-02-27 07:00:00,2023.2435294305867,102.32435294305868,422.4110530451728,-57.758894695482724,12,-50.12136839777235,v8,quantile_grid,atr,0,10
30min,2024-08-31 07:00:00,2025-02-27 07:00:00,2025-02-27 07:00:00,2025-03-29 07:00:00,2586.188057503365,158.61880575033652,235.5736114721594,-76.44263885278406,14,-45.72093544703004,v8,quantile_grid,atr,0,11
30min,2024-09-30 07:00:00,2025-03-29 07:00:00,2025-03-29 07:00:00,2025-04-28 07:00:00,11766.304189032016,1076.6304189032016,420.96682491594197,-57.903317508405806,24,-128.6768975342826,v8,quantile_grid,atr,0,12
30min,2024-10-30 07:00:00,2025-04-28 07:00:00,2025-04-28 07:00:00,2025-05-28 07:00:00,6186.902275598901,518.6902275598901,3896.8614132721746,289.68614132721746,16,-281.98885462632796,v8,quantile_grid,atr,0,13
30min,2024-11-29 07:00:00,2025-05-28 07:00:00,2025-05-28 07:00:00,2025-06-27 07:00:00,2370.2524950247075,137.02524950247076,1018.5142920620863,1.8514292062086213,16,-281.98885462632796,v8,quantile_grid,atr,0,14
30min,2024-12-29 07:00:00,2025-06-27 07:00:00,2025-06-27 07:00:00,2025-07-27 07:00:00,2562.4616225353025,156.24616225353023,1636.032385634054,63.6032385634054,22,-281.98885462632796,v8,quantile_grid,atr,0,15
30min,2025-01-28 07:00:00,2025-07-27 07:00:00,2025-07-27 07:00:00,2025-08-26 07:00:00,2449.496585984062,144.94965859840622,1038.1350894479954,3.8135089447995263,16,-281.98885462632796,v8,quantile_grid,atr,0,16
30min,2025-02-27 07:00:00,2025-08-26 07:00:00,2025-08-26 07:00:00,2025-09-25 07:00:00,1354.5893903099186,35.458939030991864,695.6553275836774,-30.434467241632255,14,-281.98885462632796,v8,quantile_grid,atr,0,17
1h,2023-10-06 07:00:00,2024-04-03 07:00:00,2024-04-03 07:00:00,2024-05-03 07:00:00,3252.8721259097633,225.28721259097634,869.5781239176976,-13.042187608230249,34,-77.73494791553709,v8,quantile_grid,atr,0,0
1h,2023-11-05 07:00:00,2024-05-03 07:00:00,2024-05-03 07:00:00,2024-06-02 07:00:00,1926.055118495807,92.60551184958071,1119.5918066847394,11.959180668473945,28,-72.31784447876709,v8,quantile_grid,atr,0,1
1h,2023-12-05 07:00:00,2024-06-02 07:00:00,2024-06-02 07:00:00,2024-07-02 07:00:00,1790.9927754265416,79.09927754265415,801.9469552983143,-19.805304470168572,16,-72.31784447876709,v8,quantile_grid,atr,0,2
1h,2024-01-04 07:00:00,2024-07-02 07:00:00,2024-07-02 07:00:00,2024-08-01 07:00:00,1523.9708584179016,52.397085841790144,415.12284652702687,-58.48771534729731,20,-68.3217942038309,v8,quantile_grid,atr,0,3
1h,2024-02-03 07:00:00,2024-08-01 07:00:00,2024-08-01 07:00:00,2024-08-31 07:00:00,1704.4295107729586,70.44295107729586,1105.8481762393224,10.584817623932242,22,-68.3217942038309,v8,quantile_grid,atr,0,4
1h,2024-03-04 07:00:00,2024-08-31 07:00:00,2024-08-31 07:00:00,2024-09-30 07:00:00,4913.115606159635,391.31156061596346,2655.2465367225527,165.52465367225525,22,-68.3217942038309,v8,quantile_grid,atr,0,5
1h,2024-04-03 07:00:00,2024-09-30 07:00:00,2024-09-30 07:00:00,2024-10-30 07:00:00,1472.7734703959811,47.27734703959812,759.1971460799899,-24.08028539200101,22,-68.3217942038309,v8,quantile_grid,atr,0,6
1h,2024-05-03 07:00:00,2024-10-30 07:00:00,2024-10-30 07:00:00,2024-11-29 07:00:00,14989.424352560793,1398.9424352560793,10461.075810003433,946.1075810003432,20,-68.3217942038309,v8,quantile_grid,atr,0,7
1h,2024-06-02 07:00:00,2024-11-29 07:00:00,2024-11-29 07:00:00,2024-12-29 07:00:00,2296.1233019805745,129.61233019805744,429.737579504895,-57.0262420495105,28,-68.3217942038309,v8,quantile_grid,atr,0,8
1h,2024-07-02 07:00:00,2024-12-29 07:00:00,2024-12-29 07:00:00,2025-01-28 07:00:00,2688.0663571168457,168.80663571168455,1321.1143872185494,32.11143872185494,26,-67.13393592295753,v8,quantile_grid,atr,0,9
1h,2024-08-01 07:00:00,2025-01-28 07:00:00,2025-01-28 07:00:00,2025-02-27 07:00:00,2137.310879904555,113.73108799045548,424.78315291034016,-57.52168470896598,24,-67.13393592295753,v8,quantile_grid,atr,0,10
1h,2024-08-31 07:00:00,2025-02-27 07:00:00,2025-02-27 07:00:00,2025-03-29 07:00:00,3773.2540781647353,277.3254078164735,225.03502056140857,-77.49649794385914,22,-83.01020164411958,v8,quantile_grid,atr,0,11
1h,2024-09-30 07:00:00,2025-03-29 07:00:00,2025-03-29 07:00:00,2025-04-28 07:00:00,1678.817622068411,67.8817622068411,414.89005777970414,-58.51099422202959,26,-179.44798868034093,v8,quantile_grid,atr,0,12
1h,2024-10-30 07:00:00,2025-04-28 07:00:00,2025-04-28 07:00:00,2025-05-28 07:00:00,4951.136027400183,395.1136027400183,3894.6619948558764,289.46619948558765,18,-179.44798868034093,v8,quantile_grid,atr,0,13
1h,2024-11-29 07:00:00,2025-05-28 07:00:00,2025-05-28 07:00:00,2025-06-27 07:00:00,2477.9306719451984,147.79306719451984,1024.0909142412934,2.409091424129328,22,-179.44798868034093,v8,quantile_grid,atr,0,14
1h,2024-12-29 07:00:00,2025-06-27 07:00:00,2025-06-27 07:00:00,2025-07-27 07:00:00,2499.4830506961607,149.94830506961608,1639.0465813799406,63.90465813799406,18,-179.44798868034093,v8,quantile_grid,atr,0,15
1h,2025-01-28 07:00:00,2025-07-27 07:00:00,2025-07-27 07:00:00,2025-08-26 07:00:00,2112.2496693939233,111.22496693939232,1036.857622909793,3.6857622909792997,24,-179.44798868034093,v8,quantile_grid,atr,0,16
1h,2025-02-27 07:00:00,2025-08-26 07:00:00,2025-08-26 07:00:00,2025-09-25 07:00:00,1328.1011322598604,32.810113225986036,706.854996120143,-29.3145003879857,20,-179.44798868034093,v8,quantile_grid,atr,0,17
2h,2023-10-06 08:00:00,2024-04-03 08:00:00,2024-04-03 08:00:00,2024-05-03 08:00:00,2353.194025809545,135.3194025809545,895.1389889058839,-10.486101109411605,12,-98.15967896806018,v8,quantile_grid,atr,0,0
2h,2023-11-05 08:00:00,2024-05-03 08:00:00,2024-05-03 08:00:00,2024-06-02 08:00:00,1972.0087713818518,97.20087713818519,1117.6734765194356,11.76734765194356,16,-62.977850185480875,v8,quantile_grid,atr,0,1
2h,2023-12-05 08:00:00,2024-06-02 08:00:00,2024-06-02 08:00:00,2024-07-02 08:00:00,1750.845052641678,75.08450526416779,802.5309923563907,-19.74690076436093,14,-62.977850185480875,v8,quantile_grid,atr,0,2
2h,2024-01-04 08:00:00,2024-07-02 08:00:00,2024-07-02 08:00:00,2024-08-01 08:00:00,1293.891117857737,29.389111785773704,419.73284454085285,-58.02671554591472,14,-45.266850001904906,v8,quantile_grid,atr,0,3
2h,2024-02-03 08:00:00,2024-08-01 08:00:00,2024-08-01 08:00:00,2024-08-31 08:00:00,1252.0704508643796,25.20704508643796,1098.4095206459601,9.84095206459601,22,-38.155467481944726,v8,quantile_grid,atr,0,4
2h,2024-03-04 08:00:00,2024-08-31 08:00:00,2024-08-31 08:00:00,2024-09-30 08:00:00,4279.500865354691,327.95008653546904,2657.539064539672,165.7539064539672,18,-40.93473205728038,v8,quantile_grid,atr,0,5
2h,2024-04-03 08:00:00,2024-09-30 08:00:00,2024-09-30 08:00:00,2024-10-30 08:00:00,1386.3341907303172,38.633419073031725,769.5789958587164,-23.042100414128353,20,-60.66928446659454,v8,quantile_grid,atr,0,6
2h,2024-05-03 08:00:00,2024-10-30 08:00:00,2024-10-30 08:00:00,2024-11-29 08:00:00,11553.829866427932,1055.3829866427932,10472.900686900906,947.2900686900907,14,-60.66928446659454,v8,quantile_grid,atr,0,7
2h,2024-06-02 08:00:00,2024-11-29 08:00:00,2024-11-29 08:00:00,2024-12-29 08:00:00,2054.551980307682,105.45519803076817,436.46622055369113,-56.35337794463089,14,-60.66928446659454,v8,quantile_grid,atr,0,8
2h,2024-07-02 08:00:00,2024-12-29 08:00:00,2024-12-29 08:00:00,2025-01-28 08:00:00,1844.4294304801615,84.44294304801613,1322.3765650168998,32.23765650168997,18,-60.66928446659454,v8,quantile_grid,atr,0,9
2h,2024-08-01 08:00:00,2025-01-28 08:00:00,2025-01-28 08:00:00,2025-02-27 08:00:00,1059.334136943063,5.933413694306289,423.91811594877885,-57.60818840512212,20,-60.66928446659454,v8,quantile_grid,atr,0,10
2h,2024-08-31 08:00:00,2025-02-27 08:00:00,2025-02-27 08:00:00,2025-03-29 08:00:00,4559.304792421435,355.9304792421435,223.9522172650151,-77.60477827349848,20,-84.46772943734751,v8,quantile_grid,atr,0,11
2h,2024-09-30 08:00:00,2025-03-29 08:00:00,2025-03-29 08:00:00,2025-04-28 08:00:00,1207.148548410334,20.714854841033393,405.6996536958226,-59.43003463041774,14,-131.19458452631406,v8,quantile_grid,atr,0,12
2h,2024-10-30 08:00:00,2025-04-28 08:00:00,2025-04-28 08:00:00,2025-05-28 08:00:00,4003.7494112498243,300.37494112498246,3845.819829099299,284.58198290992993,12,-131.19458452631406,v8,quantile_grid,atr,0,13
2h,2024-11-29 08:00:00,2025-05-28 08:00:00,2025-05-28 08:00:00,2025-06-27 08:00:00,2185.949056189121,118.59490561891212,1023.3180018765963,2.3318001876596384,18,-131.19458452631406,v8,quantile_grid,atr,0,14
2h,2024-12-29 08:00:00,2025-06-27 08:00:00,2025-06-27 08:00:00,2025-07-27 08:00:00,2138.8708552827393,113.88708552827391,1616.2348824670562,61.62348824670563,18,-131.19458452631406,v8,quantile_grid,atr,0,15
